Date,Close,Open,High,Low,Volume,Change
4/9/2020,28133.31,28341.05,28539.75,27664.68,70049000000,-0.01
3/9/2020,28292.73,29090.7,29199.35,28074.76,65829000000,-0.03
2/9/2020,29100.5,28736.79,29162.88,28713.53,54254000000,0.02
1/9/2020,28645.66,28439.61,28659.26,28290.72,42866000000,0.01
31/08/2020,28430.05,28643.66,28643.66,28363.55,51982000000,-0.01
28/08/2020,28653.87,28601.29,28733.35,28487.98,37380000000,0.01
27/08/2020,28492.27,28384.07,28634.22,28363.93,40509000000,0.01
26/08/2020,28331.92,28257.88,28353.8,28153.91,32880000000,0.00
25/08/2020,28248.44,28347.42,28400.74,28094.57,34113000000,0.00
24/08/2020,28308.46,28077.58,28314.94,28041.75,38544000000,0.01
21/08/2020,27930.33,27758.13,27959.48,27686.78,37434000000,0.01
20/08/2020,27739.73,27622.68,27781.46,27526.25,30605000000,0.00
19/08/2020,27692.88,27811.26,27920.42,27647.67,31295000000,0.00
18/08/2020,27778.07,27853.48,27891.12,27668.79,27712000000,0.00
17/08/2020,27844.91,27970.05,27999.81,27816.4,29199000000,0.00
14/08/2020,27931.02,27828.93,27977.81,27759.39,27673000000,0.00
13/08/2020,27896.72,27922.51,27986.1,27789.78,36441000000,0.00
12/8/2020,27976.84,27860.24,28043.89,27843.32,34207000000,0.01
11/8/2020,27686.91,27961.64,28154.88,27624.51,43009000000,0.00
10/8/2020,27791.44,27488.21,27803.86,27488.21,36250000000,0.01
7/8/2020,27433.48,27321.68,27456.24,27223.55,32493000000,0.00
6/8/2020,27386.98,27170.82,27394.1,27145.25,32372000000,0.01
5/8/2020,27201.52,26924.78,27221.67,26924.78,36998000000,0.01
4/8/2020,26828.47,26664.61,26832.72,26597.82,35546000000,0.01
3/8/2020,26664.4,26542.32,26707.26,26534.38,43938000000,0.01
31/07/2020,26428.32,26409.33,26440.02,26013.59,49137000000,0.00
30/07/2020,26313.65,26367.42,26374.93,25992.28,35829000000,-0.01
29/07/2020,26539.57,26388.44,26602.45,26375.39,34758000000,0.01
28/07/2020,26379.28,26529.45,26556.84,26361.71,36240000000,-0.01
27/07/2020,26584.77,26447.67,26625.46,26426.92,40093000000,0.00
24/07/2020,26469.89,26533.41,26625.7,26402.86,49797000000,-0.01
23/07/2020,26652.33,26955.97,26973.85,26560.04,42656000000,-0.01
22/07/2020,27005.84,26824.56,27035.24,26794.19,41082000000,0.01
21/07/2020,26840.4,26833.14,27025.38,26766.22,36724000000,0.01
20/07/2020,26680.87,26660.29,26765.02,26504.2,31207000000,0.00
17/07/2020,26671.95,26774.62,26808.43,26619.88,30052000000,0.00
16/07/2020,26734.71,26746.57,26879.16,26590.01,28804000000,-0.01
15/07/2020,26870.1,27009.81,27071.33,26692.48,38826000000,0.01
14/07/2020,26642.59,26044.17,26690.52,25994.98,40734000000,0.02
13/07/2020,26085.8,26225.07,26639.09,26044.23,42857000000,0.00
10/7/2020,26075.3,25690.35,26101.32,25637.5,33736000000,0.01
9/7/2020,25706.09,26094.92,26103.28,25523.51,38918000000,-0.01
8/7/2020,26067.28,25950.06,26109.49,25816.25,33730000000,0.01
7/7/2020,25890.18,26172.01,26174.93,25866.58,34900000000,-0.02
6/7/2020,26287.03,25996.08,26297.53,25996.08,34226000000,0.02
2/7/2020,25827.36,25936.45,26204.41,25778.12,35029000000,0.00
1/7/2020,25734.97,25879.38,26019.31,25713.61,37398000000,0.00
30/06/2020,25812.88,25512.43,25905.38,25475.14,41269000000,0.01
29/06/2020,25595.8,25152.45,25601.15,25096.16,38513000000,0.02
26/06/2020,25015.55,25641.69,25641.69,24971.03,67618000000,-0.03
25/06/2020,25745.6,25365.22,25769.61,25209.79,38807000000,0.01
24/06/2020,25445.94,25992.96,25992.96,25296.73,45253000000,-0.03
23/06/2020,26156.1,26159.39,26314.97,26105.97,39216000000,0.01
22/06/2020,26024.96,25865.08,26059.81,25667.68,35301000000,0.01
19/06/2020,25871.46,26213.1,26451.44,25759.66,68189000000,-0.01
18/06/2020,26080.1,26016.45,26154.2,25848.53,33007000000,0.00
17/06/2020,26119.61,26330.52,26400.07,26068.41,33057000000,-0.01
16/06/2020,26289.98,26326.68,26611.03,25811.7,49336000000,0.02
15/06/2020,25763.16,25270.39,25891.58,24843.18,46313000000,0.01
12/6/2020,25605.54,25659.42,25965.55,25078.41,52119000000,0.02
11/6/2020,25128.17,26282.51,26294.08,25082.72,65147000000,-0.07
10/6/2020,26989.99,27251.89,27355.22,26938.05,44999000000,-0.01
9/6/2020,27272.3,27447.37,27447.37,27151.06,38825000000,-0.01
8/6/2020,27572.44,27232.93,27580.21,27232.48,43334000000,0.02
5/6/2020,27110.98,26836.8,27338.3,26836.8,54441000000,0.03
4/6/2020,26281.82,26226.49,26384.1,26082.31,37555000000,0.00
3/6/2020,26269.89,25906.88,26337.75,25906.88,40127000000,0.02
2/6/2020,25742.65,25582.52,25743.13,25523.74,35524000000,0.01
1/6/2020,25475.02,25342.99,25508.83,25220.66,34122000000,0.00
29/05/2020,25383.11,25324.15,25482.8,25031.67,54514000000,0.00
28/05/2020,25400.64,25697.36,25758.79,25358.73,37840000000,-0.01
27/05/2020,25548.27,25298.63,25551.56,25009.87,42036000000,0.02
26/05/2020,24995.11,24781.84,25176.42,24781.84,42629000000,0.02
22/05/2020,24465.16,24461.98,24481.64,24294.07,25566000000,0.00
21/05/2020,24474.12,24564.27,24718.46,24370.88,34884000000,0.00
20/05/2020,24575.9,24455.94,24649.48,24455.94,37193000000,0.02
19/05/2020,24206.86,24577.48,24599.5,24202.96,37692000000,-0.02
18/05/2020,24597.37,24059.98,24708.54,24059.98,48419000000,0.04
15/05/2020,23685.42,23454.83,23730.08,23354.15,49518000000,0.00
14/05/2020,23625.34,23049.06,23630.86,22789.62,47698000000,0.02
13/05/2020,23247.97,23702.16,23708.9,23067.64,47332000000,-0.02
12/5/2020,23764.78,24292.84,24382.09,23761.58,36156000000,-0.02
11/5/2020,24221.99,24256.45,24366.21,24070.22,35651000000,0.00
8/5/2020,24331.32,24107.82,24349.9,24107.05,33734000000,0.02
7/5/2020,23875.89,23837.21,24094.62,23834.39,37168000000,0.01
6/5/2020,23664.64,23978.88,24054.59,23661.14,37991000000,-0.01
5/5/2020,23883.09,23958.88,24169.72,23868.91,37449000000,0.01
4/5/2020,23749.76,23581.55,23769.56,23361.16,35839000000,0.00
1/5/2020,23723.69,24120.78,24120.78,23645.3,42159000000,-0.03
30/04/2020,24345.72,24585.57,24585.57,24186.9,48784000000,-0.01
29/04/2020,24633.86,24490.37,24764.77,24453.99,46248000000,0.02
28/04/2020,24101.55,24357.17,24512.24,24031.2,40571000000,0.00
27/04/2020,24133.78,23866.15,24207.65,23840.61,39102000000,0.02
24/04/2020,23775.27,23628.24,23826,23417.68,37931000000,0.01
23/04/2020,23515.26,23543.09,23885.36,23483.35,39357000000,0.00
22/04/2020,23475.82,23437.34,23613.1,23339.6,35639000000,0.02
21/04/2020,23018.88,23365.25,23365.25,22941.88,48765000000,-0.03
20/04/2020,23650.44,24095.1,24108.69,23627.19,42735000000,-0.02
